iter	RMSE
0	14.70137528
1	14.34462421
2	13.97297692
3	13.61665179
4	13.29275851
5	12.98758301
6	12.68239952
7	12.3820944
8	12.12636308
9	11.83700439
10	11.54510066
11	11.3059032
12	11.05238515
13	10.81310212
14	10.58198357
15	10.34510163
16	10.14017474
17	9.946605054
18	9.745221285
19	9.553841717
20	9.388416355
21	9.218487349
22	9.051474128
23	8.886193939
24	8.732410717
25	8.597899034
26	8.462700588
27	8.343705274
28	8.226006203
29	8.105984638
30	7.99988239
31	7.87551158
32	7.7712584
33	7.673841058
34	7.570949852
35	7.471392017
36	7.379401411
37	7.293890933
38	7.206785578
39	7.129619491
40	7.053770502
41	6.987100585
42	6.917877651
43	6.856607035
44	6.790766559
45	6.73303856
46	6.666020219
47	6.610122866
48	6.552143415
49	6.501184393
50	6.454956102
51	6.399804503
52	6.355959251
53	6.309481236
54	6.263636901
55	6.22130909
56	6.18353033
57	6.148713499
58	6.111453949
59	6.080750092
60	6.043967417
61	6.012180152
62	5.980951581
63	5.949489502
64	5.923464637
65	5.893610748
66	5.865128263
67	5.840338248
68	5.8186901
69	5.793575564
70	5.769116917
71	5.745223549
72	5.724818648
73	5.702343236
74	5.681193604
75	5.659862832
76	5.642954163
77	5.623749883
78	5.607212792
79	5.58816193
80	5.572862896
81	5.561099661
82	5.54265493
83	5.527458162
84	5.507694967
85	5.492955742
86	5.479829552
87	5.468320273
88	5.454664556
89	5.436504702
90	5.425534726
91	5.41627021
92	5.399537599
93	5.392304539
94	5.380198821
95	5.370088833
96	5.36163315
97	5.35082454
98	5.339097807
99	5.328590628
100	5.318838946
101	5.311286503
102	5.300677011
103	5.294247144
104	5.285524985
105	5.275104143
106	5.265843051
107	5.256529333
108	5.250584102
109	5.243527395
110	5.234282599
111	5.227410842
112	5.218859025
113	5.211139395
114	5.206430978
115	5.194987451
116	5.188251451
117	5.181520918
118	5.175447094
119	5.169168505
120	5.16208228
121	5.157985567
122	5.152135851
123	5.14358603
124	5.140521827
125	5.136960647
126	5.132894963
127	5.125352313
128	5.11941142
129	5.115025187
130	5.108735813
131	5.103823224
132	5.095128842
133	5.089315754
134	5.084247852
135	5.078717792
136	5.071416068
137	5.067675959
138	5.062580757
139	5.059266532
140	5.052851842
141	5.049309835
142	5.042601803
143	5.035624435
144	5.029995827
145	5.026223677
146	5.021505269
147	5.016000218
148	5.007565948
149	5.001657025
150	4.997261169
151	4.994194559
152	4.984883515
153	4.981110656
154	4.977047874
155	4.969423202
156	4.962365858
157	4.959053739
158	4.950436484
159	4.946586441
160	4.943279927
161	4.940931901
162	4.936570639
163	4.930998325
164	4.929320939
165	4.926069697
166	4.921246763
167	4.918165021
168	4.916593492
169	4.912867494
170	4.912098861
171	4.910660994
172	4.90412579
173	4.899405914
174	4.892113962
175	4.889660499
176	4.879367632
177	4.875653627
178	4.871510505
179	4.869245721
180	4.866936202
181	4.864617797
182	4.858159491
183	4.855842332
184	4.853117868
185	4.848253912
186	4.842059006
187	4.836065545
188	4.833368498
189	4.828552675
190	4.825512024
191	4.820972385
192	4.819104221
193	4.813289154
194	4.81175056
195	4.810521507
196	4.808010052
197	4.801917441
198	4.796552409
199	4.790938768
200	4.786415243
201	4.781405279
202	4.777718586
203	4.774807011
204	4.771198693
205	4.77050245
206	4.768445372
207	4.766433147
208	4.761680972
209	4.757020527
210	4.755053534
211	4.750372578
212	4.746002462
213	4.74124412
214	4.734829505
215	4.73132916
216	4.726927943
217	4.725509731
218	4.722975313
219	4.719706636
220	4.716352989
221	4.712642989
222	4.710565562
223	4.708076934
224	4.704618197
225	4.699640275
226	4.6977505
227	4.696865911
228	4.692544072
229	4.690544489
230	4.687210698
231	4.684011003
232	4.681319927
233	4.679108766
234	4.674526572
235	4.668877829
236	4.667247701
237	4.663376674
238	4.660109705
239	4.657565041
240	4.653815378
241	4.652072004
242	4.649782361
243	4.646709729
244	4.643455767
245	4.639104989
246	4.63763279
247	4.633298917
248	4.632482402
249	4.629730044
250	4.625407705
251	4.621962231
252	4.616214831
253	4.608386302
254	4.601730286
255	4.597886263
256	4.595788681
257	4.589990822
258	4.589060835
259	4.582904734
260	4.577006396
261	4.574038493
262	4.57017763
263	4.562345964
264	4.557559425
265	4.550636138
266	4.548481678
267	4.540840013
268	4.535557863
269	4.532461312
270	4.529691926
271	4.52756801
272	4.525798329
273	4.517732567
274	4.516435832
275	4.510018605
276	4.508235195
277	4.506958266
278	4.503069976
279	4.498392709
280	4.493182738
281	4.491671172
282	4.488222515
283	4.484537573
284	4.482956896
285	4.480387585
286	4.479051192
287	4.474939542
288	4.473178686
289	4.468561925
290	4.466253295
291	4.465453579
292	4.462159239
293	4.459561788
294	4.456712576
295	4.451998106
296	4.450525937
297	4.446321044
298	4.44491607
299	4.444352566
300	4.44190966
301	4.435614566
302	4.434378702
303	4.431877804
304	4.429603661
305	4.426098429
306	4.421007904
307	4.419342545
308	4.414205056
309	4.412366311
310	4.408863897
311	4.404619903
312	4.399421083
313	4.39545926
314	4.390848141
315	4.389578455
316	4.388078584
317	4.383613247
318	4.379221699
319	4.376005648
320	4.37321567
321	4.368250766
322	4.363356907
323	4.359856634
324	4.355775055
325	4.351582308
326	4.347426774
327	4.346279791
328	4.342349542
329	4.340961979
330	4.337712007
331	4.33469263
332	4.332284593
333	4.328508077
334	4.324636087
335	4.321870222
336	4.316209238
337	4.312305546
338	4.307824258
339	4.302545123
340	4.299056832
341	4.29789756
342	4.292595232
343	4.287489565
344	4.28266974
345	4.279412249
346	4.275363773
347	4.270283694
348	4.267346518
349	4.263551341
350	4.25951594
351	4.258444157
352	4.254406359
353	4.249965302
354	4.247408458
355	4.245937529
356	4.241079652
357	4.238617438
358	4.234054643
359	4.231274389
360	4.227675601
361	4.224716823
362	4.222747924
363	4.219009825
364	4.218049089
365	4.216683867
366	4.21381384
367	4.209886137
368	4.208988079
369	4.204681407
370	4.201629861
371	4.200442068
372	4.1968163
373	4.195310609
374	4.19149611
375	4.189303225
376	4.188148477
377	4.182703999
378	4.181038724
379	4.175155238
380	4.173047797
381	4.166898511
382	4.16430321
383	4.16141343
384	4.157122127
385	4.155211827
386	4.153508062
387	4.150447433
388	4.149554987
389	4.147470719
390	4.143147407
391	4.137693217
392	4.136527943
393	4.133541803
394	4.129896756
395	4.127939764
396	4.126934802
397	4.122991596
398	4.121756774
399	4.118951589
400	4.114733358
401	4.113319738
402	4.109775797
403	4.106703888
404	4.102914612
405	4.10186535
406	4.101384208
407	4.096992662
408	4.092617698
409	4.087771033
410	4.08463778
411	4.083013236
412	4.081118641
413	4.07906708
414	4.074691345
415	4.071613011
416	4.070456671
417	4.067463446
418	4.064187126
419	4.060033926
420	4.055481008
421	4.052077219
422	4.051049862
423	4.047073627
424	4.045655253
425	4.043075512
426	4.041654613
427	4.037675238
428	4.035185032
429	4.033826134
430	4.032516209
431	4.029224238
432	4.024017517
433	4.021523898
434	4.019177722
435	4.017859712
436	4.016079972
437	4.013947649
438	4.012652553
439	4.008697466
440	4.007460405
441	4.006115294
442	4.00475544
443	4.000231856
444	3.996922413
445	3.992892235
446	3.989106686
447	3.98525229
448	3.979841467
449	3.97631973
450	3.971741644
451	3.970429695
452	3.966485219
453	3.963843677
454	3.959919044
455	3.957854808
456	3.956912177
457	3.953195676
458	3.948607727
459	3.944096917
460	3.941745392
461	3.939585647
462	3.938788132
463	3.936096748
464	3.935546209
465	3.931806455
466	3.930556383
467	3.928781025
468	3.92604035
469	3.92480976
470	3.921117086
471	3.921043637
472	3.91827093
473	3.917802485
474	3.917736884
475	3.914679583
476	3.910644495
477	3.909429616
478	3.907578322
479	3.902867611
480	3.89869135
481	3.895022862
482	3.894117696
483	3.890276995
484	3.889652959
485	3.887516841
486	3.885016245
487	3.881895616
488	3.879281403
489	3.878103673
490	3.875640216
491	3.873335303
492	3.872523515
493	3.871742628
494	3.870649744
495	3.86714735
496	3.861329955
497	3.859287539
498	3.857987097
499	3.857659176
500	3.854185557
501	3.851496148
502	3.846749936
503	3.844256496
504	3.841737306
505	3.83834807
506	3.834489367
507	3.833692317
508	3.831569799
509	3.830489583
510	3.827349638
511	3.823981989
512	3.820178831
513	3.81652176
514	3.813682899
515	3.80953868
516	3.808742564
517	3.806146339
518	3.801486831
519	3.796124367
520	3.795850818
521	3.79149213
522	3.788985966
523	3.787511655
524	3.785109557
525	3.782217558
526	3.779624322
527	3.778647206
528	3.774937821
529	3.772154677
530	3.769277264
531	3.765850568
532	3.76304258
533	3.75961877
534	3.758311716
535	3.756184993
536	3.751513722
537	3.749950699
538	3.749075867
539	3.745997862
540	3.7447266
541	3.738615356
542	3.735372145
543	3.730900879
544	3.728346067
545	3.72618724
546	3.724373841
547	3.721717294
548	3.718505225
549	3.715033958
550	3.713446035
551	3.711070774
552	3.708310554
553	3.704621168
554	3.702555447
555	3.701034746
556	3.698740676
557	3.695442349
558	3.69367434
559	3.692419246
560	3.690075717
561	3.687129406
562	3.684883224
563	3.683412485
564	3.680108698
565	3.678646357
566	3.675562289
567	3.672075779
568	3.667670124
569	3.66521708
570	3.663097334
571	3.658776348
572	3.658094347
573	3.656320842
574	3.652440687
575	3.649382502
576	3.649291981
577	3.647033336
578	3.643880662
579	3.638746484
580	3.635589463
581	3.634833262
582	3.632172611
583	3.631742829
584	3.631213536
585	3.629795836
586	3.626576563
587	3.623054592
588	3.620666408
589	3.61785955
590	3.617054384
591	3.614509344
592	3.610818383
593	3.610554282
594	3.608795709
595	3.607616931
596	3.605738992
597	3.604290689
598	3.600431109
599	3.599055315
600	3.596541992
601	3.594724182
602	3.591128493
603	3.588814957
604	3.587859843
605	3.587361726
606	3.586178457
607	3.580568856
608	3.578060126
609	3.575011895
610	3.57147977
611	3.567943485
612	3.564628297
613	3.563226768
614	3.559583469
615	3.559125693
616	3.557992036
617	3.555105209
618	3.554544181
619	3.553116623
620	3.551372475
621	3.549919382
622	3.546900243
623	3.545485974
624	3.54132985
625	3.538111433
626	3.537437597
627	3.534901735
628	3.533191789
629	3.53197223
630	3.529708265
631	3.529130764
632	3.526054189
633	3.523875601
634	3.523373168
635	3.519414869
636	3.516502849
637	3.514010476
638	3.512683168
639	3.509688321
640	3.509186795
641	3.507342703
642	3.506228734
643	3.503809782
644	3.501335414
645	3.497816701
646	3.495415248
647	3.491661194
648	3.488662262
649	3.485953359
650	3.484254926
651	3.48379153
652	3.480788144
653	3.479551425
654	3.476520589
655	3.47269971
656	3.471345602
657	3.468138243
658	3.465547957
659	3.463485138
660	3.461449298
661	3.458327355
662	3.457879527
663	3.455971693
664	3.454406718
665	3.451534248
666	3.45074153
667	3.448483876
668	3.447259674
669	3.446709007
670	3.443899732
671	3.442300757
672	3.440719944
673	3.43811857
674	3.436857403
675	3.433721342
676	3.43187567
677	3.430141918
678	3.428301172
679	3.424235392
680	3.422887945
681	3.41998509
682	3.417109106
683	3.414249666
684	3.413629412
685	3.410903507
686	3.409523146
687	3.408168203
688	3.405470864
689	3.402815169
690	3.402405165
691	3.40009518
692	3.397625977
693	3.394625252
694	3.392586688
695	3.390654062
696	3.390007291
697	3.387879567
698	3.384559795
699	3.381911706
700	3.381242646
701	3.379315755
702	3.377912421
703	3.37668132
704	3.374913734
705	3.372990741
706	3.372786529
707	3.370064281
708	3.367484795
