iter	Passed	Remaining
0	1	1230
1	1	824
2	1	653
3	2	604
4	2	575
5	3	527
6	3	500
7	3	478
8	4	478
9	4	475
10	5	467
11	5	455
12	5	444
13	6	433
14	6	424
15	6	416
16	7	410
17	7	405
18	7	397
19	8	392
20	8	392
21	8	391
22	9	389
23	9	385
24	9	381
25	10	378
26	10	374
27	10	370
28	10	367
29	11	364
30	11	361
31	11	358
32	12	358
33	12	357
34	12	355
35	13	353
36	13	351
37	13	348
38	14	346
39	14	343
40	14	341
41	14	339
42	15	336
43	15	334
44	15	333
45	16	332
46	16	332
47	16	331
48	17	331
49	17	329
50	17	328
51	17	327
52	18	327
53	18	325
54	18	324
55	19	322
56	19	321
57	19	320
58	20	322
59	20	320
60	20	320
61	21	320
62	21	319
63	21	317
64	22	316
65	22	315
66	22	314
67	22	313
68	23	311
69	23	310
70	23	311
71	24	310
72	24	309
73	24	308
74	24	307
75	25	306
76	25	305
77	25	304
78	25	303
79	26	301
80	26	300
81	26	300
82	27	299
83	27	298
84	27	297
85	27	297
86	28	296
87	28	295
88	28	294
89	29	293
90	29	293
91	29	292
92	29	291
93	30	289
94	30	288
95	30	287
96	30	286
97	31	285
98	31	285
99	31	285
100	32	284
101	32	284
102	32	283
103	32	282
104	33	281
105	33	281
106	33	280
107	33	279
108	34	279
109	34	278
110	34	277
111	34	276
112	35	276
113	35	276
114	35	276
115	36	275
116	36	275
117	36	274
118	36	273
119	37	273
120	37	272
121	37	272
122	38	271
123	38	271
124	38	270
125	38	270
126	39	269
127	39	269
128	39	268
129	40	268
130	40	267
131	40	266
132	40	266
133	41	265
134	41	265
135	41	264
136	41	264
137	42	263
138	42	263
139	42	263
140	43	262
141	43	263
142	43	262
143	44	262
144	44	261
145	44	261
146	44	260
147	45	260
148	45	259
149	45	259
150	45	258
151	46	258
152	46	257
153	46	257
154	47	256
155	47	256
156	47	255
157	47	255
158	48	254
159	48	254
160	48	254
161	49	253
162	49	253
163	49	252
164	49	252
165	50	252
166	50	251
167	50	251
168	51	251
169	51	250
170	51	249
171	51	248
172	51	248
173	52	248
174	52	247
175	52	247
176	53	246
177	53	245
178	53	245
179	53	245
180	54	245
181	54	244
182	54	244
183	55	244
184	55	243
185	55	243
186	55	243
187	56	242
188	56	242
189	56	242
190	57	241
191	57	241
192	57	241
193	57	240
194	58	240
195	58	240
196	58	239
197	59	239
198	59	239
199	59	238
200	59	238
201	60	237
202	60	237
203	60	237
204	61	236
205	61	235
206	61	235
207	61	235
208	62	234
209	62	234
210	62	234
211	62	233
212	63	233
213	63	232
214	63	232
215	63	232
216	64	231
217	64	231
218	64	231
219	65	231
220	65	230
221	65	230
222	66	230
223	66	230
224	66	229
225	67	229
226	67	229
227	67	228
228	67	228
229	68	227
230	68	227
231	68	227
232	68	227
233	69	226
234	69	226
235	69	226
236	70	225
237	70	225
238	70	225
239	70	224
240	71	224
241	71	223
242	71	223
243	72	223
244	72	222
245	72	222
246	72	222
247	73	222
248	73	221
249	73	221
250	74	221
251	74	221
252	74	221
253	75	220
254	75	220
255	75	220
256	76	220
257	76	220
258	76	219
259	77	219
260	77	219
261	77	218
262	77	218
263	78	217
264	78	217
265	78	217
266	78	216
267	79	216
268	79	216
269	79	215
270	80	215
271	80	215
272	80	215
273	81	214
274	81	214
275	81	214
276	81	213
277	82	213
278	82	213
279	82	212
280	83	212
281	83	211
282	83	211
283	83	211
284	84	211
285	84	210
286	84	210
287	85	210
288	85	209
289	85	209
290	85	209
291	86	209
292	86	208
293	86	208
294	87	208
295	87	207
296	87	207
297	88	207
298	88	207
299	88	206
300	89	206
301	89	206
302	89	206
303	89	205
304	90	205
305	90	205
306	90	204
307	90	204
308	91	203
309	91	203
310	91	203
311	92	203
312	92	202
313	92	202
314	93	202
315	93	201
316	93	201
317	93	201
318	94	201
319	94	200
320	94	200
321	95	200
322	95	199
323	95	199
324	95	199
325	96	198
326	96	198
327	96	198
328	96	197
329	97	197
330	97	197
331	97	196
332	98	196
333	98	196
334	98	195
335	98	195
336	99	195
337	99	194
338	99	194
339	99	193
340	100	193
341	100	193
342	100	192
343	100	192
344	101	192
345	101	191
346	101	191
347	102	191
348	102	190
349	102	190
350	102	190
351	103	189
352	103	189
353	103	189
354	103	188
355	104	188
356	104	188
357	104	187
358	105	187
359	105	187
360	105	186
361	105	186
362	106	186
363	106	185
364	106	185
365	106	185
366	107	184
367	107	184
368	107	184
369	108	183
370	108	183
371	108	183
372	108	182
373	109	182
374	109	182
375	109	181
376	109	181
377	110	181
378	110	180
379	110	180
380	110	180
381	111	180
382	111	179
383	111	179
384	112	179
385	112	178
386	112	178
387	112	178
388	113	177
389	113	177
390	113	177
391	113	176
392	114	176
393	114	176
394	114	175
395	115	175
396	115	175
397	115	174
398	115	174
399	116	174
400	116	173
401	116	173
402	116	173
403	117	172
404	117	172
405	117	172
406	118	172
407	118	171
408	118	171
409	118	171
410	119	170
411	119	170
412	119	170
413	119	169
414	120	169
415	120	169
416	120	168
417	120	168
418	121	168
419	121	167
420	121	167
421	122	167
422	122	166
423	122	166
424	122	166
425	123	166
426	123	165
427	123	165
428	124	165
429	124	164
430	124	164
431	124	164
432	125	163
433	125	163
434	125	163
435	125	162
436	126	162
437	126	162
438	126	162
439	127	161
440	127	161
441	127	161
442	128	161
443	128	160
444	128	160
445	128	160
446	129	159
447	129	159
448	129	159
449	129	158
450	130	158
451	130	158
452	130	157
453	131	157
454	131	157
455	131	156
456	131	156
457	132	156
458	132	156
459	132	155
460	132	155
461	133	155
462	133	154
463	133	154
464	133	154
465	134	153
466	134	153
467	134	153
468	135	152
469	135	152
470	135	152
471	135	151
472	136	151
473	136	151
474	136	151
475	136	150
476	137	150
477	137	150
478	137	149
479	137	149
480	138	149
481	138	148
482	138	148
483	139	148
484	139	147
485	139	147
486	139	147
487	140	146
488	140	146
489	140	146
490	140	146
491	141	145
492	141	145
493	141	145
494	142	144
495	142	144
496	142	144
497	142	144
498	143	143
499	143	143
500	143	143
501	144	142
502	144	142
503	144	142
504	144	141
505	145	141
506	145	141
507	145	141
508	145	140
509	146	140
510	146	140
511	146	139
512	147	139
513	147	139
514	147	138
515	147	138
516	148	138
517	148	138
518	148	137
519	148	137
520	149	137
521	149	136
522	149	136
523	150	136
524	150	135
525	150	135
526	150	135
527	151	135
528	151	134
529	151	134
530	151	134
531	152	133
532	152	133
533	152	133
534	153	133
535	153	132
536	153	132
537	153	132
538	154	131
539	154	131
540	154	131
541	154	130
542	155	130
543	155	130
544	155	129
545	155	129
546	156	129
547	156	129
548	156	128
549	157	128
550	157	128
551	157	127
552	157	127
553	158	127
554	158	127
555	158	126
556	158	126
557	159	126
558	159	125
559	159	125
560	160	125
561	160	124
562	160	124
563	160	124
564	161	124
565	161	123
566	161	123
567	161	123
568	162	122
569	162	122
570	162	122
571	162	121
572	163	121
573	163	121
574	163	121
575	164	120
576	164	120
577	164	120
578	164	119
579	165	119
580	165	119
581	165	118
582	165	118
583	166	118
584	166	118
585	166	117
586	166	117
587	167	117
588	167	116
589	167	116
590	167	116
591	168	115
592	168	115
593	168	115
594	168	114
595	169	114
596	169	114
597	169	114
598	170	113
599	170	113
600	170	113
601	170	112
602	171	112
603	171	112
604	171	112
605	171	111
606	172	111
607	172	111
608	172	110
609	172	110
610	173	110
611	173	110
612	173	109
613	174	109
614	174	109
615	174	108
616	174	108
617	175	108
618	175	107
619	175	107
620	175	107
621	176	107
622	176	106
623	176	106
624	177	106
625	177	105
626	177	105
627	177	105
628	178	105
629	178	104
630	178	104
631	178	104
632	179	103
633	179	103
634	179	103
635	179	102
636	180	102
637	180	102
638	180	102
639	180	101
640	181	101
641	181	101
642	181	100
643	181	100
644	182	100
645	182	100
646	182	99
647	183	99
648	183	99
649	183	98
650	183	98
651	184	98
652	184	98
653	184	97
654	184	97
655	185	97
656	185	96
657	185	96
658	185	96
659	186	96
660	187	95
661	187	95
662	187	95
663	188	95
664	188	94
665	188	94
666	189	94
667	189	94
668	189	93
669	190	93
670	190	93
671	190	93
672	191	92
673	191	92
674	191	92
675	192	92
676	192	91
