iter	Passed	Remaining
0	61	61453
1	61	30865
2	62	20657
3	62	15548
4	62	12479
5	63	10439
6	63	8981
7	63	7884
8	63	7016
9	64	6337
10	64	5777
11	64	5311
12	64	4920
13	65	4586
14	65	4294
15	65	4044
16	66	3817
17	66	3618
18	66	3437
19	66	3280
20	67	3137
21	67	3006
22	67	2883
23	68	2773
24	68	2671
25	68	2575
26	69	2486
27	69	2404
28	69	2332
29	69	2259
30	70	2195
31	70	2132
32	70	2074
33	71	2018
34	71	1966
35	71	1917
36	71	1870
37	72	1829
38	72	1788
39	72	1750
40	73	1712
41	73	1676
42	73	1642
43	74	1609
44	74	1577
45	74	1546
46	74	1517
47	75	1489
48	75	1461
49	75	1435
50	75	1410
51	76	1386
52	76	1363
53	76	1341
54	76	1319
55	77	1298
56	77	1278
57	77	1258
58	77	1239
59	77	1220
60	78	1202
61	78	1186
62	78	1169
63	78	1153
64	79	1138
65	79	1123
66	79	1108
67	79	1094
68	80	1080
69	80	1066
70	80	1053
71	80	1040
72	80	1028
73	81	1016
74	81	1004
75	81	992
76	81	981
77	82	970
78	82	959
79	82	949
80	82	939
81	83	929
82	83	919
83	83	910
84	83	901
85	83	892
86	84	883
87	84	874
88	84	865
89	84	857
90	85	849
91	85	840
92	85	833
93	85	826
94	85	818
95	86	811
96	86	803
97	86	796
98	86	789
99	87	783
100	87	776
101	87	770
102	87	763
103	87	757
104	88	751
105	88	745
106	88	739
107	88	733
108	89	727
109	89	722
110	89	716
111	89	711
112	89	705
113	90	700
114	90	695
115	90	689
116	90	684
117	90	679
118	91	674
119	91	670
120	91	665
121	91	660
122	91	655
123	92	651
124	92	647
125	92	642
126	92	638
127	93	634
128	93	629
129	93	625
130	93	621
131	93	617
132	94	613
133	94	609
134	94	605
135	94	602
136	94	598
137	95	594
138	95	591
139	95	587
140	95	583
141	96	580
142	96	576
143	96	573
144	96	569
145	96	566
146	97	563
147	97	560
148	97	556
149	97	553
150	97	550
151	98	547
152	98	544
153	98	541
154	98	538
155	98	535
156	99	532
157	99	529
158	99	526
159	99	523
160	100	521
161	100	518
162	100	515
163	100	513
164	100	510
165	101	507
166	101	505
167	101	502
168	101	500
169	101	497
170	102	495
171	102	493
172	102	490
173	102	487
174	102	485
175	103	482
176	103	480
177	103	478
178	103	476
179	104	474
180	104	471
181	104	469
182	104	467
183	104	465
184	105	463
185	105	461
186	105	459
187	105	457
188	106	455
189	106	453
190	106	451
191	106	448
192	106	446
193	107	444
194	107	443
195	107	441
196	108	440
197	108	438
198	108	436
199	108	435
200	109	433
201	109	433
202	110	432
203	110	430
204	110	428
205	110	427
206	111	425
207	111	423
208	111	421
209	111	419
210	111	417
211	112	416
212	112	414
213	112	412
214	112	411
215	112	409
216	113	408
217	113	406
218	113	404
219	113	403
220	113	401
221	114	400
222	114	398
223	114	396
224	114	395
225	115	394
226	115	392
227	115	391
228	115	389
229	115	388
230	116	386
231	116	385
232	116	383
233	116	382
234	116	380
235	117	379
236	117	377
237	117	376
238	117	375
239	118	373
240	118	372
241	118	371
242	118	369
243	118	368
244	119	366
245	119	365
246	119	364
247	119	362
248	119	361
249	120	360
250	120	359
251	120	357
252	120	356
253	121	355
254	121	354
255	121	352
256	121	351
257	121	350
258	122	349
259	122	348
260	122	346
261	122	345
262	122	344
263	123	343
264	123	341
265	123	340
266	123	339
267	123	338
268	124	337
269	124	336
270	124	335
271	124	333
272	124	332
273	125	331
274	125	330
275	125	329
276	125	328
277	126	327
278	126	326
279	126	325
280	126	324
281	126	323
282	127	322
283	127	320
284	127	319
285	127	318
286	127	317
287	128	316
288	128	315
289	128	314
290	128	313
291	129	312
292	129	311
293	129	310
294	129	309
295	129	308
296	130	307
297	130	306
298	130	306
299	130	305
300	130	304
301	131	303
302	131	302
303	131	301
304	131	300
305	131	299
306	132	298
307	132	297
308	132	296
309	132	295
310	133	294
311	133	293
312	133	292
313	133	292
314	133	291
315	134	290
316	134	289
317	134	288
318	134	287
319	134	286
320	135	285
321	135	285
322	135	284
323	135	283
324	136	282
325	136	281
326	136	280
327	136	279
328	136	279
329	137	278
330	137	277
331	137	276
332	137	275
333	137	274
334	138	274
335	138	273
336	138	272
337	138	271
338	138	271
339	139	270
340	139	269
341	139	268
342	139	267
343	140	267
344	140	266
345	140	265
346	140	264
347	140	263
348	141	263
349	141	262
350	141	261
351	141	260
352	141	260
353	142	259
354	142	258
355	142	258
356	142	257
357	143	256
358	143	255
359	143	255
360	143	254
361	143	253
362	144	252
363	144	252
364	144	251
365	144	250
366	144	250
367	145	249
368	145	248
369	145	247
370	145	247
371	145	246
372	146	245
373	146	245
374	146	244
375	146	243
376	147	243
377	147	242
378	147	241
379	147	241
380	147	240
381	148	239
382	148	239
383	148	238
384	148	237
385	148	236
386	149	236
387	149	235
388	149	235
389	149	234
390	150	233
391	150	233
392	150	232
393	150	231
394	150	231
395	151	230
396	151	229
397	151	229
398	151	228
399	151	227
400	152	227
401	152	226
402	152	225
403	152	225
404	152	224
405	153	224
406	153	223
407	153	222
408	153	222
409	154	221
410	154	221
411	154	220
412	154	219
413	154	219
414	155	218
415	155	218
416	155	217
417	155	216
418	155	216
419	156	215
420	156	215
421	156	214
422	156	213
423	157	213
424	157	212
425	157	212
426	157	211
427	157	211
428	158	210
429	158	209
430	158	209
431	158	208
432	158	208
433	159	207
434	159	207
435	159	206
436	159	205
437	160	205
438	160	204
439	160	204
440	160	203
441	160	203
442	161	202
443	161	202
444	161	201
445	161	200
446	161	200
447	162	199
448	162	199
449	162	198
450	162	198
451	162	197
452	163	197
453	163	196
454	163	195
455	163	195
456	164	194
457	164	194
458	164	193
459	164	193
460	164	192
461	165	192
462	165	191
463	165	191
464	165	190
465	165	190
466	166	189
467	166	189
468	166	188
469	166	188
470	167	187
471	167	187
472	167	186
473	167	186
474	167	185
475	168	184
476	168	184
477	168	183
478	168	183
479	168	182
480	169	182
481	169	181
482	169	181
483	169	180
484	169	180
485	170	179
486	170	179
487	170	178
488	170	178
489	170	177
490	171	177
491	171	176
492	171	176
493	171	175
494	172	175
495	172	175
496	172	174
497	172	174
498	172	173
499	173	173
500	173	172
501	173	172
502	173	171
503	173	171
504	174	170
505	174	170
506	174	169
507	174	169
508	175	168
509	175	168
510	175	167
511	175	167
512	175	166
513	176	166
514	176	166
515	176	165
516	176	165
517	177	164
518	177	164
519	177	163
520	177	163
521	177	162
522	178	162
523	178	161
524	178	161
525	178	161
526	178	160
527	179	160
528	179	159
529	179	159
530	179	158
531	180	158
532	180	157
533	180	157
534	180	157
535	180	156
536	181	156
537	181	155
538	181	155
539	181	154
540	182	154
541	182	153
542	182	153
543	182	153
544	182	152
545	183	152
546	183	151
547	183	151
548	183	150
549	183	150
550	184	150
551	184	149
552	184	149
553	184	148
554	184	148
555	185	147
556	185	147
557	185	147
558	185	146
559	186	146
560	186	145
561	186	145
562	186	144
563	186	144
564	187	144
565	187	143
566	187	143
567	187	142
568	188	142
569	188	141
570	188	141
571	188	141
572	188	140
573	189	140
574	189	139
575	189	139
576	189	139
577	190	138
578	190	138
579	190	137
580	190	137
581	190	137
582	191	136
583	191	136
584	191	135
585	191	135
586	192	135
587	192	134
588	192	134
589	192	133
590	192	133
591	193	133
592	193	132
593	193	132
594	193	131
595	194	131
596	194	131
597	194	130
598	194	130
599	194	129
600	195	129
601	195	129
602	195	128
603	195	128
604	195	127
605	196	127
606	196	127
607	196	126
608	196	126
609	197	126
610	197	125
611	197	125
612	197	124
613	197	124
614	198	123
615	198	123
616	198	123
617	198	122
618	198	122
619	199	122
620	199	121
621	199	121
622	199	120
623	199	120
624	200	120
625	200	119
626	200	119
627	200	118
628	201	118
629	201	118
630	201	117
631	201	117
