iter	RMSE
0	14.99336336
1	14.73138013
2	14.45580299
3	14.1876394
4	13.95050766
5	13.76856961
6	13.54515711
7	13.32026827
8	13.13913722
9	12.89453207
10	12.70961939
11	12.47209525
12	12.28136192
13	12.05899958
14	11.85225151
15	11.6829187
16	11.50649765
17	11.30532118
18	11.15230151
19	10.97353202
20	10.79072509
21	10.61129229
22	10.47280901
23	10.30666054
24	10.15917614
25	10.00709348
26	9.873549226
27	9.742191369
28	9.595754947
29	9.481400466
30	9.34529875
31	9.217199871
32	9.080741398
33	8.967813245
34	8.844846429
35	8.723130085
36	8.62688647
37	8.536944759
38	8.428699043
39	8.316168245
40	8.21241797
41	8.11078405
42	8.025733642
43	7.929244531
44	7.846890707
45	7.758788918
46	7.671999668
47	7.587819483
48	7.505914197
49	7.433030416
50	7.358177502
51	7.283289828
52	7.223451689
53	7.156670681
54	7.082429887
55	7.018529921
56	6.943303476
57	6.874939368
58	6.813821698
59	6.755891572
60	6.703473241
61	6.63781889
62	6.57899365
63	6.5335607
64	6.482021337
65	6.431162887
66	6.376531475
67	6.327598415
68	6.279388372
69	6.230963639
70	6.175353002
71	6.130186948
72	6.085984969
73	6.044356879
74	6.007153946
75	5.969728852
76	5.931155697
77	5.885270259
78	5.851489513
79	5.812471107
80	5.784631057
81	5.749959254
82	5.711838892
83	5.682325454
84	5.63971167
85	5.60497473
86	5.573754948
87	5.548327891
88	5.517320882
89	5.487983228
90	5.457976707
91	5.433861864
92	5.403086383
93	5.371107639
94	5.343920994
95	5.315132164
96	5.284130496
97	5.259138884
98	5.227378261
99	5.198731586
100	5.171090285
101	5.141759616
102	5.124380256
103	5.100459551
104	5.076729879
105	5.052642993
106	5.027235369
107	5.005095725
108	4.979279973
109	4.955143811
110	4.934185285
111	4.906192817
112	4.885169341
113	4.87210269
114	4.857439425
115	4.837033066
116	4.818459608
117	4.790508555
118	4.766533587
119	4.739981022
120	4.723202401
121	4.704862495
122	4.67878547
123	4.661341855
124	4.652194829
125	4.634291834
126	4.620313342
127	4.60469837
128	4.587662129
129	4.566963587
130	4.554338237
131	4.53906213
132	4.522514617
133	4.506804044
134	4.492416516
135	4.482042487
136	4.474052889
137	4.46129386
138	4.444174599
139	4.432597609
